"model","Country","Forecast horizon (weeks)","interval_score","dispersion","underprediction","overprediction"
"EE","CZ",1,"643 (39.9-4340)","8.46 (3.85-24.7)","69.5 (0-2070)","0 (0-4320)"
"EE","CZ",2,"1100 (61.8-6180)","11.1 (5.06-32.4)","272 (0-3850)","17.9 (0-5640)"
"EE","CZ",3,"1370 (108-7500)","12.5 (4.83-43.9)","528 (0-4850)","0 (0-6710)"
"EE","CZ",4,"1810 (75.8-8720)","11.1 (5.12-47.9)","609 (0-5290)","0 (0-7270)"
"EE","FR",1,"41900 (7380-137000)","108 (78.5-240)","0 (0-37600)","26600 (516-137000)"
"EE","FR",2,"108000 (17800-272000)","221 (125-458)","0 (0-37900)","95700 (1190-272000)"
"EE","FR",3,"187000 (34600-330000)","384 (225-602)","0 (0-25000)","187000 (9330-330000)"
"EE","FR",4,"280000 (183000-377000)","680 (522-839)","0 (0-0)","279000 (183000-376000)"
"EE","IT",1,"1850 (125-39400)","264 (52.3-624)","0 (0-15100)","110 (0-38900)"
"EE","IT",2,"14800 (515-86300)","328 (73.6-1060)","0 (0-20900)","3070 (0-85200)"
"EE","IT",3,"10800 (506-111000)","408 (93.1-1170)","0 (0-15600)","6050 (0-110000)"
"EE","IT",4,"11000 (910-98100)","522 (97.3-1260)","0 (0-5790)","10800 (0-96900)"
"ensemble","CZ",1,"424 (131-10500)","96 (36.1-439)","175 (0-1340)","0 (0-9830)"
"ensemble","CZ",2,"915 (157-31600)","179 (45.5-1410)","110 (0-1710)","0 (0-30100)"
"ensemble","CZ",3,"1230 (227-71400)","275 (49.2-4050)","17.3 (0-2380)","0 (0-67400)"
"ensemble","CZ",4,"1480 (455-152000)","430 (54.5-12300)","212 (0-2910)","0 (0-140000)"
"ensemble","FR",1,"36400 (10500-85400)","3230 (1880-4670)","0 (0-20800)","33200 (0-80800)"
"ensemble","FR",2,"77300 (30400-143000)","5500 (3090-9500)","0 (0-34300)","66500 (1870-133000)"
"ensemble","FR",3,"85300 (13000-199000)","9010 (6490-11500)","0 (0-2680)","76300 (3820-188000)"
"ensemble","FR",4,"124000 (55500-192000)","12600 (12500-12600)","0 (0-0)","111000 (43000-179000)"
"ensemble","IT",1,"7620 (650-54100)","1660 (393-3170)","0 (0-37300)","2470 (0-23600)"
"ensemble","IT",2,"14500 (1030-79300)","3220 (716-7660)","0 (0-56900)","7190 (0-40100)"
"ensemble","IT",3,"19000 (1240-79500)","4610 (960-15200)","0 (0-56100)","3410 (0-55900)"
"ensemble","IT",4,"29400 (1760-108000)","6450 (1190-28600)","0 (0-47900)","4840 (0-79100)"
